session_date,open,high,low,close,volume,ma20,ma50,ma200,rsi14,atr14,vol_index
2025-10-20,97900.0,98300.0,96000.0,98100.0,17589756,87462.5,77355.0,62463.25,79.5,2690.99,
2025-10-21,98500.0,99900.0,97300.0,97500.0,22803830,88512.5,77927.0,62679.75,77.3,2684.5,
2025-10-22,97100.0,98600.0,95500.0,98600.0,15937611,89472.5,78505.0,62898.25,78.5,2714.17,
2025-10-23,96800.0,98500.0,96300.0,96500.0,18488581,90387.5,79037.0,63115.25,70.9,2684.59,
2025-10-24,97900.0,99000.0,97700.0,98800.0,18801925,91312.5,79637.0,63344.25,73.9,2671.41,
2025-10-27,101300.0,102000.0,100600.0,102000.0,22169970,92237.5,80267.0,63586.75,77.4,2709.16,
2025-10-28,100900.0,101000.0,99100.0,99500.0,20002282,92977.5,80821.0,63812.25,69.6,2722.79,
2025-10-29,100200.0,101000.0,99100.0,100500.0,20899788,93732.5,81411.0,64046.75,70.9,2664.02,
2025-10-30,102400.0,105800.0,102000.0,104100.0,34570017,94632.5,82071.0,64298.75,74.9,2852.31,
2025-10-31,105000.0,108600.0,103300.0,107500.0,54824564,95842.5,82783.0,64570.25,78.0,3027.14,
2025-11-03,106900.0,111500.0,106500.0,111100.0,30110066,97187.5,83573.0,64858.75,80.7,3168.06,
2025-11-04,111800.0,112400.0,104900.0,104900.0,30450281,98237.5,84271.0,65111.25,65.7,3477.48,
2025-11-05,101000.0,102000.0,96700.0,100600.0,44843020,98967.5,84883.0,65334.75,57.7,3814.81,
2025-11-06,103700.0,103800.0,98800.0,99200.0,28655689,99440.0,85457.0,65553.75,55.3,3899.46,
2025-11-07,96400.0,100300.0,96300.0,97900.0,22908083,99615.0,86003.0,65756.75,53.1,3906.64,
2025-11-10,98600.0,101000.0,97900.0,100600.0,23842327,99980.0,86587.0,65979.25,56.9,3849.03,
2025-11-11,103700.0,106000.0,102000.0,103500.0,27742542,100575.0,87227.0,66220.25,60.6,3959.81,
2025-11-12,103000.0,103900.0,101600.0,103100.0,19413497,100980.0,87883.0,66465.25,59.9,3841.25,
2025-11-13,102500.0,104200.0,102300.0,102800.0,20838741,101235.0,88527.0,66709.75,59.2,3702.59,
2025-11-14,99000.0,99600.0,97200.0,97200.0,21806342,101200.0,89079.0,66927.25,49.3,3838.12,
2025-11-17,99800.0,101000.0,99500.0,100600.0,17192584,101325.0,89697.0,67158.75,54.3,3835.4,
2025-11-18,99800.0,100900.0,97500.0,97800.0,18684068,101340.0,90301.0,67379.25,49.9,3804.3,
2025-11-19,97100.0,97500.0,94600.0,96500.0,18993346,101235.0,90849.0,67594.75,48.0,3761.13,
2025-11-20,100900.0,102900.0,99500.0,100600.0,25360435,101440.0,91465.0,67830.25,54.0,3949.62,
2025-11-21,95600.0,96800.0,94500.0,94800.0,23103574,101240.0,91959.0,68032.75,45.9,4103.22,
2025-11-24,97800.0,99000.0,96200.0,96700.0,29831172,100975.0,92503.0,68247.75,48.6,4110.14,
2025-11-25,101400.0,101400.0,97800.0,99300.0,16110054,100965.0,93087.0,68475.75,52.2,4152.27,
